,Index,company,company_location,review_date,Bean_Country,Bean_Province,cocoa_percent,rating,num_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,alternative_sweetener,first_taste,second_taste,third_taste,fourth_taste
0,0,5150,U.S.A,2019,Madagascar,"Bejofo Estate, batch 1",76.0,3.75,3,Yes,No,No,No,Yes,No,cocoa,blackberry,full body,
1,1,5150,U.S.A,2019,Dominican republic,"Zorzal, batch 1",76.0,3.5,3,Yes,No,No,No,Yes,No,cocoa,vegetal,savory,
2,2,5150,U.S.A,2019,Tanzania,"Kokoa Kamili, batch 1",76.0,3.25,3,Yes,No,No,No,Yes,No,rich cocoa,fatty,bready,
3,3,A. Morin,France,2012,Peru,Peru,63.0,3.75,4,Yes,No,Yes,No,Yes,No,fruity,melon,roasty,
4,4,A. Morin,France,2012,Bolivia,Bolivia,70.0,3.5,4,Yes,No,Yes,No,Yes,No,vegetal,nutty,,
5,5,A. Morin,France,2013,Venezuela,Chuao,70.0,4.0,4,Yes,No,Yes,No,Yes,No,oily,nut,caramel,raspberry
6,6,A. Morin,France,2013,Peru,Chanchamayo Province,63.0,4.0,3,Yes,No,No,No,Yes,No,sweet,cocoa,tangerine,
7,7,A. Morin,France,2013,Ecuador,Equateur,70.0,3.75,4,Yes,No,Yes,No,Yes,No,sandy,nutty,cocoa,fig
8,8,A. Morin,France,2013,Peru,Chanchamayo Province,70.0,3.5,4,Yes,No,Yes,No,Yes,No,cocoa,sour,intense tangerine,
9,9,A. Morin,France,2013,Brazil,Brazil,70.0,3.25,4,Yes,No,Yes,No,Yes,No,mild tobacco,,,
10,10,A. Morin,France,2013,Papua new guinea,Papua New Guinea,70.0,3.25,4,Yes,No,Yes,No,Yes,No,mild fruit,strong smoke,,
11,11,A. Morin,France,2013,Peru,Piura,70.0,3.25,4,Yes,No,Yes,No,Yes,No,green,nutty,cocoa,
12,12,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70.0,3.0,4,Yes,No,Yes,No,Yes,No,sticky,red fruit,sour,
13,13,A. Morin,France,2013,Burma,Birmanie,70.0,3.0,4,Yes,No,Yes,No,Yes,No,sticky,smokey,grass,
14,14,A. Morin,France,2013,Panama,Panama,70.0,2.75,4,Yes,No,Yes,No,Yes,No,brief fruit note,earthy,nutty,
15,15,A. Morin,France,2013,Colombia,Colombie,70.0,2.75,4,Yes,No,Yes,No,Yes,No,burnt rubber,alkalyzed notes,,
16,16,A. Morin,France,2014,Peru,Pablino,70.0,4.0,4,Yes,No,Yes,No,Yes,No,delicate,hazelnut,brownie,
17,17,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70.0,3.75,4,Yes,No,Yes,No,Yes,No,astringent,nutty,chocolatey,
