,Unnamed: 0,Index,company,company_location,review_date,Bean_Country,Bean_Province,cocoa_percent,rating,num_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,alternative_sweetener,first_taste,second_taste,third_taste,fourth_taste
5,5,5,A. Morin,France,2013,Venezuela,Chuao,70.0,4.0,4,Yes,No,Yes,No,Yes,No,oily,nut,caramel,raspberry
7,7,7,A. Morin,France,2013,Ecuador,Equateur,70.0,3.75,4,Yes,No,Yes,No,Yes,No,sandy,nutty,cocoa,fig
26,26,26,A. Morin,France,2018,Peru,Absolu,63.0,3.75,4,Yes,No,Yes,No,Yes,No,sweet,dairy,spice,cocoa
29,29,29,Acalli,U.S.A,2015,Peru,"Tumbes, Norandino",70.0,3.75,2,No,No,No,No,Yes,No,intense,nutty,cherry,cocoa
36,36,36,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70.0,3.0,2,No,No,No,No,Yes,No,sandy,woody,spicy,sweet
37,37,37,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.75,2,No,No,No,No,Yes,No,basic,sweet,cocoa,woody
58,58,58,Altus aka Cao Artisan,U.S.A,2013,Dominican republic,"Conacado, batch 130",60.0,3.0,4,Yes,No,Yes,No,Yes,No,sandy,sweet,dairy,spice
59,59,59,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 154",60.0,3.0,4,Yes,No,Yes,No,Yes,No,grit,sweet,caramel,fruit
63,63,63,Altus aka Cao Artisan,U.S.A,2016,Ecuador,Gruppo Salinas,60.0,2.75,3,Yes,No,No,No,Yes,No,sandy,nutty,earthy,roasty
65,65,65,Altus aka Cao Artisan,U.S.A,2016,Peru,Villa Andina,60.0,2.5,3,Yes,No,No,No,Yes,No,sandy,sweet,sour,off
68,68,68,Amano,U.S.A,2007,Madagascar,Madagascar,70.0,3.5,4,Yes,Yes,No,No,Yes,No,spice,nut,cocoa,fruit
80,80,80,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.5,3,Yes,No,No,No,Yes,No,oily,vegetal,nutty,cocoa
81,81,81,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25,3,Yes,No,No,No,Yes,No,oily,vanilla,melon,cocoa
92,92,92,Amedei,Italy,2007,Blend,Toscano Black,63.0,3.5,4,Yes,Yes,No,No,Yes,No,fatty,dairy,caramel,cocoa
100,100,100,Amedei,Italy,2019,Blend,Toscano Black,70.0,2.75,3,Yes,No,No,No,Yes,No,nut,fatty,rubbery,rich
101,101,101,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,4,Yes,No,Yes,No,Yes,No,creamy,sweet,cocoa,banana
103,103,103,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75.0,3.75,4,Yes,No,Yes,No,Yes,No,roasty,fatty,nutty,coffee
115,115,115,Arete,U.S.A,2015,Brazil,Fazenda Camboa,70.0,3.5,2,No,No,No,No,Yes,No,creamy,rich,rum,roasty
153,153,153,Artisan du Chocolat,U.k.,2009,Venezuela,"Ocumare, Venezuela",75.0,2.5,3,Yes,No,No,No,Yes,No,oily,nutty,burnt,sour
170,170,170,Atypic,Australia,2019,Solomon islands,Solomon Islands,70.0,3.0,4,Yes,No,Yes,No,Yes,No,off aroma,vegetal,honey,sandy
171,171,171,Auro,Philippines,2018,Philippines,"Saloy E., 2016",70.0,3.5,3,Yes,No,No,No,Yes,No,long,bright fruit,sweet,sour
185,185,185,Bankston,U.S.A,2019,Belize,Belize,72.0,2.5,3,Yes,No,No,No,Yes,No,gritty,fatty,sour,off
262,262,262,Blanxart,Spain,2009,Blend,Organic Dark,72.0,2.75,4,Yes,Yes,No,No,Yes,No,oily,flat,woody,sour
266,266,266,Blue Bandana,U.S.A,2016,Madagascar,"Akesson's E., Sambirano V.",82.0,3.5,2,No,No,No,No,Yes,No,sandy,tart,sour,sweet
292,292,292,Bonnat,France,2011,Brazil,Juliana,75.0,3.5,3,Yes,No,No,No,Yes,No,oily,fatty,rich,nutty
297,297,297,Bonnat,France,2014,Blend,"Surfin, Venez,Africa,Brasil,Peru,Mex",65.0,3.75,3,Yes,No,No,No,Yes,No,complex,brownie,mint,spice
309,309,309,Brasstown aka It's Chocolate,U.S.A,2013,Dominican republic,Cooproagro,72.0,3.0,5,Yes,Yes,Yes,No,Yes,No,oily,vanilla,caramel,dairy
312,312,312,Brasstown aka It's Chocolate,U.S.A,2015,Dominican republic,"Conacado, batch 001515",68.0,3.75,3,Yes,No,No,No,Yes,No,complex,brownie,lime,rich
318,318,318,Brazen,U.S.A,2015,Guatemala,"Alta Verapaz, 2014, batch 69",70.0,3.5,2,No,No,No,No,Yes,No,tart,tea,leather,sour
324,324,324,Breeze Mill,U.S.A,2013,Jamaica,Jamaica,70.0,3.0,4,Yes,Yes,No,No,Yes,No,chalky,sandy,tart,bland
370,370,370,Cacao Hunters,Colombia,2014,Colombia,"Boyaca, Aprocampa Coop, Pauna",69.0,2.75,4,Yes,No,Yes,No,Yes,No,green,vegetal,soil,fuel
376,376,376,Cacao Prieto,U.S.A,2011,Dominican republic,"Dominican Republic, rustic",65.0,3.25,2,No,No,No,No,Yes,No,rustic,gritty,sweet,fruit
380,380,380,Cacao Sampaka,Spain,2009,Mexico,"Xoconusco, Chiapas, cacao Real",70.0,4.0,4,Yes,No,Yes,No,Yes,No,creamy,nutty,banana,rich
429,429,429,Casa Lasevicius,Brazil,2019,Brazil,"Fazenda Camboa, Bahia, 2018",71.0,3.0,2,No,No,No,No,Yes,No,sandy,intense,sweet,rich
436,436,436,Castronovo,U.S.A,2013,Peru,"San Martin, batch 155",70.0,2.5,3,Yes,No,No,No,Yes,No,sandy,fruity,acidic,metallic
453,453,453,Chapon,France,2018,Venezuela,"San Esteban (Chloe, Maria, Patrice)",68.0,3.5,3,Yes,No,No,No,Yes,No,butter,roasty,cocoa,nutty
473,473,473,Chocolate Alchemist-Philly,U.S.A,2016,Peru,"Tumbes, ""Zarumilla""",90.0,2.5,2,No,No,No,No,No,Yes,sticky,bitter,molasses,tart
474,474,474,Chocolate Alchemist-Philly,U.S.A,2016,Blend,"Philly Blend, 5 plantations",80.0,2.5,2,No,No,No,No,No,Yes,sticky,coconut,sour,bitter
477,477,477,Chocolate Con Amor,U.S.A,2016,Dominican republic,Dominican Republic,75.0,3.0,2,No,No,No,No,Yes,No,sandy,rich,roasty,earthy
485,485,485,Chocolate Makers,Netherlands,2015,Dominican republic,Tres Hombres,75.0,3.25,3,Yes,No,No,No,Yes,No,earthy,coffee,mild,tang
496,496,496,Chocolibrium,U.S.A,2018,India,"Anamalai, Tamil Nadu",63.0,2.5,3,Yes,No,No,No,Yes,No,sandy,tart,ham,sweet
505,505,505,Chocovivo,U.S.A,2015,Mexico,Tabasco,65.0,2.5,2,No,No,No,No,Yes,No,coarse,sweet,sour,leathery
509,509,509,Choklat,Canada,2009,Venezuela,Ocumare,70.0,3.0,4,Yes,Yes,No,No,Yes,No,slow,fatty,subdued,nutty
523,523,523,Chuao Chocolatier (Pralus),U.S.A,2010,Venezuela,Chuao,77.0,2.75,3,Yes,No,No,No,Yes,No,red berry,bitter,roasty,sour
524,524,524,Claudio Corallo,Sao tome,2008,Blend,"Terreiro Velho P., Sao Tome & Principe",75.0,3.75,3,Yes,No,No,No,Yes,No,dry,sandy,cocoa,coffee
529,529,529,Cocoa Carib,St. lucia,2019,St. lucia,St. Lucia,70.0,2.25,4,Yes,Yes,No,No,Yes,No,raw,dirty,metallic,dry
531,531,531,Condor,U.S.A,2015,Ecuador,Camino Verde,76.0,3.5,2,No,No,No,No,Yes,No,bold,roasty,sticky,brownie
534,534,534,Coppeneur,Germany,2008,Mexico,"Porcelana, Tabasco, Mexico",72.0,3.0,3,Yes,No,No,No,Yes,No,intense,tangy,berry,sour
555,555,555,Cravve,Australia,2012,Vanuatu,"Vanuatu, batch 2410",64.0,3.25,3,Yes,No,No,No,Yes,No,sandy,sweet,spicy,roasty
559,559,559,Creo,U.S.A,2016,Ecuador,"""heirloom"", Arriba Nacional",85.0,3.25,3,Yes,No,No,No,Yes,No,oily,mild bitter,nutty,fruit
567,567,567,Damson,U.k.,2015,Trinidad,Robson Estate,70.0,3.0,3,Yes,No,No,No,Yes,No,floral,sour,synthetic,off
582,582,582,Dandelion,U.S.A,2015,Belize,"Maya Mtn., Break Bar- Snark",70.0,3.0,2,No,No,No,No,Yes,No,intense,roasty,coffee,raisin
584,584,584,Dandelion,U.S.A,2017,Costa rica,"Hacienda Azul, 2016 Harvest",70.0,3.0,2,No,No,No,No,Yes,No,cocoa,sour,toffee,earthy
603,603,603,DAR,U.S.A,2016,Venezuela,"Venezuela, batch 122",72.0,2.75,2,No,No,No,No,Yes,No,nut,tobacco,burnt,off notes
605,605,605,Darcis,Belgium,2019,Peru,Piura,72.0,3.0,4,Yes,No,Yes,No,Yes,No,muted,creamy,grapes,fatty
613,613,613,Davis,U.S.A,2013,Venezuela,Venezuela,70.0,2.75,4,Yes,No,Yes,No,Yes,No,fatty,powdery,nut,sl. Burnt
626,626,626,Debauve & Gallais (Michel Cluizel),France,2009,Papua new guinea,Papua New Guinea,64.0,3.0,4,Yes,Yes,No,No,Yes,No,smokey,chalky,berry,caramel
631,631,631,Desbarres,Canada,2019,Guatemala,"Monte Grande, batch 178",72.0,3.0,2,No,No,No,No,Yes,No,smokey,roasty,acidic,rich
650,650,650,Dick Taylor,U.S.A,2019,Madagascar,"Akesson P., Sambirano",72.0,3.75,2,No,No,No,No,Yes,No,sticky,dried fruit,toast,cocoa
652,652,652,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, batch OST-18-01",65.0,3.0,4,Yes,No,Yes,No,Yes,No,complex,sweet,sour,grassy
654,654,654,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, unroasted, batch UNR-18-003",70.0,2.75,4,Yes,No,Yes,No,Yes,No,cocoa,raw,dirty,chemical
666,666,666,Domori,Italy,2007,Ecuador,Ecuador,70.0,4.0,2,No,No,No,No,Yes,No,creamy,nuts,woody,cocoa
667,667,667,Domori,Italy,2007,Venezuela,"Ocumare 67, Puertofino",70.0,4.0,2,No,No,No,No,Yes,No,creamy,mint,tobacco,olive
