,Taste,Count
0,acidic,6
1,apple,1
2,ashey,2
3,balanced,2
4,banana,8
5,basic,1
6,berries,1
7,berry,3
8,bitter,15
9,blackberry,1
10,bland,3
11,bold,5
12,bread,1
13,bready,1
14,bright fruit,1
15,brownie,6
16,burning,1
17,burnt,8
18,butter,1
19,buttery,1
20,candy,2
21,caramel,11
22,cardboard,2
23,chalky,4
24,cheese,1
25,cheesey,1
26,chemical,2
27,cherry,7
28,chewy,2
29,choco,2
30,chunky,1
31,cigar,1
32,cinamon,1
33,citrus,2
34,clingy,1
35,coarse,6
36,cocoa,41
37,coconut,2
38,coffee,13
39,complex,12
40,cream,2
41,creamy,21
42,dairy,13
43,deep,1
44,delicate,1
45,dirt,1
46,dirty,6
47,dried fruit,5
48,dry,18
49,earth,1
50,earthy,22
51,empty,2
52,fat,1
53,fatty,27
54,few grits,1
55,fig,4
56,flat,2
57,floral,16
58,fruit,23
59,fruity,3
60,fuel,2
61,grainy,1
62,grape,1
63,grapes,2
64,grass,1
65,grassy,6
66,green,4
67,grit,2
68,grits,1
69,gritty,16
70,ham,2
71,hammy,4
72,hay,2
73,herb,1
74,herbs,1
75,high acid,1
76,high acidity,1
77,hint of fruit,1
78,honey,5
79,intens,1
80,intense,25
81,leather,1
82,leathery,3
83,lemon,2
84,licorice,4
85,light color,1
86,lime,1
87,long,5
88,malt,1
89,medicinal,2
90,melon,2
91,metal,2
92,metallic,4
93,mild,4
94,mild bitter,1
95,mild fruit,3
96,mild tart,2
97,mint,4
98,molasses,4
99,molassses,1
100,mold,1
101,moss,1
102,muddy,2
103,musty,2
104,muted,1
105,nut,19
106,nutmeg,1
107,nuts,4
108,nutty,37
109,off,13
110,off aroma,1
111,off note,1
112,off notes,3
113,oily,13
114,olive,1
115,orange,2
116,palm,1
117,pastey,2
118,pasty,1
119,peanut,1
120,peanut butter,1
121,pear,1
122,pepper,1
123,powdery,2
124,pungent,1
125,rainins,1
126,raisin,4
127,raspberry,1
128,raw,2
129,red berry,2
130,red fruit,2
131,rich,27
132,roasty,38
133,robust,1
134,rough,1
135,rubber,5
136,rubbery,6
137,rum,1
138,rustic,1
139,salt,2
140,salty,2
141,sandy,38
142,savory,1
143,simple,1
144,sl. Burnt,1
145,sl. dry,1
146,slow,1
147,smoke,13
148,smokey,4
149,smooth,4
150,soil,1
151,sour,31
152,sour fig,1
153,sour fruit,1
154,spice,19
155,spicy,13
156,sticky,15
157,sticy,1
158,strawberry,1
159,strong,1
160,subdued,3
161,subtle,2
162,sweet,53
163,swiss miss,1
164,synthetic,1
165,tang,1
166,tangy,6
167,tannic,2
168,tart,14
169,tea,2
170,toast,1
171,tobacco,3
172,toffee,2
173,tropical,1
174,undefined,1
175,vanilla,14
176,vegetal,7
177,watery,1
178,waxy,3
179,wine,3
180,wood,1
181,woody,10
